ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE
learner,Millennials (25-40),Female,Caucasian,Mid-level,Late career,Builder,None,Bachelor's degree,Fluent,Intermediate,Auditory,Advanced,Collaborative,Both,Rural,Intermediate,Negative,Low,Resources,Ambivert,Career advancement
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Builder,None,Doctoral degree,Proficient,None,Kinesthetic,Advanced,Supportive,Both,Rural,Intermediate,Negative,Medium,Time,Introverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Retirement,Builder,None,Bachelor's degree,Basic,Intermediate,Kinesthetic,Basic,Collaborative,Competitive,Suburban,Intermediate,Negative,Medium,Accessibility,Ambivert,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,Accelerator,None,Master's degree,Basic,Advanced,Auditory,Basic,Collaborative,Cooperative,Suburban,Intermediate,Positive,High,Time,Extroverted,Skill development
learner,Generation X (40-55),Male,Caucasian,Senior-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Advanced,Visual,Intermediate,Collaborative,Both,Rural,Basic,Positive,High,Accessibility,Introverted,Requirement
learner,Baby Boomers (55-75),Female,Asian,Entry-level,Early career,starter,Physical,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Competitive,Competitive,Urban,Basic,Positive,High,Time,Ambivert,Career advancement
learner,Generation Z (18-24),Female,Caucasian,Mid-level,Late career,starter,Physical,Master's degree,Fluent,Intermediate,Auditory,Basic,Independent,Cooperative,Rural,Advanced,Neutral,High,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Mid-level,Late career,starter,Mental,Bachelor's degree,Fluent,Basic,Reading/Writing,Intermediate,Supportive,Both,Urban,Advanced,Positive,Medium,Resources,Introverted,Career advancement
learner,Millennials (25-40),Other,Caucasian,Mid-level,Mid-career,Builder,Mental,Some college,Basic,Intermediate,Kinesthetic,Intermediate,Supportive,Both,Urban,Intermediate,Negative,Medium,Accessibility,Introverted,Skill development
learner,Baby Boomers (55-75),Male,Caucasian,Entry-level,Early career,Expert,None,Master's degree,Basic,Advanced,Kinesthetic,Intermediate,Supportive,Cooperative,Urban,Advanced,Positive,High,Time,Ambivert,Career advancement
learner,Millennials (25-40),Female,Caucasian,Entry-level,Late career,starter,None,Bachelor's degree,Fluent,Basic,Visual,Intermediate,Supportive,Cooperative,Urban,Basic,Neutral,High,Time,Extroverted,Skill development
learner,Millennials (25-40),Male,Asian,Mid-level,Early career,Accelerator,None,Some college,Proficient,Basic,Auditory,Basic,Supportive,Competitive,Urban,Advanced,Positive,Medium,Accessibility,Introverted,Skill development
learner,Generation X (40-55),Female,Hispanic/Latino,Mid-level,Early career,Builder,None,Some college,Proficient,Basic,Visual,Intermediate,Collaborative,Both,Suburban,Advanced,Neutral,Medium,Interest,Introverted,Career advancement
learner,Baby Boomers (55-75),Male,Hispanic/Latino,Mid-level,Mid-career,Builder,None,Some college,Fluent,Intermediate,Reading/Writing,Advanced,Collaborative,Both,Suburban,Intermediate,Neutral,High,Time,Extroverted,Requirement
