ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE,COURSE_COMPLETION,TIME_TAKEN_TO_COMPLETE,ATTEMPTS_TAKEN,COURSE_FEEDBACK
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Builder,None,Bachelor's degree,Basic,Advanced,Reading/Writing,Advanced,Collaborative,Both,Rural,None,Positive,High,Resources,Ambivert,Requirement,54.78,0,0,positive
learner,Millennials (25-40),Female,Asian,Entry-level,Early career,Accelerator,None,Some college,Proficient,Intermediate,Visual,Advanced,Independent,Neither,Suburban,Advanced,Neutral,Medium,Accessibility,Extroverted,Skill development,100.0,1,9,positive
learner,Millennials (25-40),Male,Other,Entry-level,Early career,starter,None,Some college,Fluent,Intermediate,Auditory,None,Supportive,Competitive,Rural,Intermediate,Negative,Medium,Time,Extroverted,Requirement,66.15,0,0,positive
learner,Baby Boomers (55-75),Male,Caucasian,Mid-level,Early career,starter,None,Doctoral degree,Proficient,Advanced,Auditory,Basic,Supportive,Competitive,Urban,Intermediate,Positive,Medium,Interest,Ambivert,Skill development,27.41,0,0,positive
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,Accelerator,None,High school or below,Fluent,Intermediate,Reading/Writing,Advanced,Collaborative,Neither,Urban,Advanced,Positive,High,Time,Introverted,Personal interest,30.49,0,0,negative
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,starter,None,Master's degree,Basic,Advanced,Reading/Writing,Advanced,Collaborative,Competitive,Suburban,Intermediate,Negative,High,Time,Introverted,Skill development,100.0,6,3,negative
learner,Baby Boomers (55-75),Male,Asian,Entry-level,Mid-career,Accelerator,None,Bachelor's degree,Proficient,Basic,Reading/Writing,Basic,Competitive,Cooperative,Suburban,Advanced,Positive,Medium,Resources,Ambivert,Requirement,100.0,5,3,positive
admin,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,starter,None,High school or below,Basic,Advanced,Kinesthetic,None,Supportive,Both,Rural,Basic,Neutral,High,Resources,Extroverted,Career advancement,95.81,0,0,negative
learner,Generation X (40-55),Female,African American,Senior-level,Early career,starter,Mental,Some college,Basic,Intermediate,Kinesthetic,Advanced,Collaborative,Both,Urban,Intermediate,Positive,High,Time,Ambivert,Requirement,28.54,0,0,negative
admin,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Builder,Physical,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Collaborative,Both,Urban,Intermediate,Positive,Medium,Interest,Extroverted,Skill development,86.36,0,0,positive
