ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE,COURSE_COMPLETION,TIME_TAKEN_TO_COMPLETE,ATTEMPTS_TAKEN,COURSE_FEEDBACK
admin,Millennials (25-40),Female,African American,Entry-level,Mid-career,Builder,Other,High school or below,Basic,Advanced,Reading/Writing,Intermediate,Collaborative,Neither,Rural,None,Negative,High,Accessibility,Extroverted,Career advancement,18.38,0,0,positive
learner,Generation X (40-55),Other,African American,Senior-level,Late career,starter,Physical,Some college,Basic,Intermediate,Auditory,Basic,Collaborative,Neither,Rural,Advanced,Neutral,Medium,Time,Extroverted,Skill development,58.61,0,0,negative
admin,Millennials (25-40),Male,Caucasian,Executive,Mid-career,Accelerator,Physical,High school or below,None,Basic,Visual,Basic,Collaborative,Both,Rural,Basic,Positive,Low,Interest,Introverted,Requirement,83.65,0,0,positive
learner,Generation X (40-55),Other,African American,Senior-level,Retirement,Expert,Other,High school or below,Basic,Basic,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Basic,Positive,Low,Interest,Introverted,Requirement,100.0,2,5,positive
admin,Baby Boomers (55-75),Other,Asian,Senior-level,Early career,starter,Physical,Doctoral degree,Basic,Intermediate,Reading/Writing,None,Supportive,Cooperative,Rural,None,Positive,Low,Interest,Ambivert,Requirement,68.62,0,0,negative
admin,Generation Z (18-24),Other,Hispanic/Latino,Senior-level,Retirement,Accelerator,Physical,High school or below,Fluent,None,Kinesthetic,Basic,Collaborative,Both,Rural,Advanced,Neutral,High,Resources,Ambivert,Personal interest,13.6,0,0,positive
admin,Generation Z (18-24),Other,Asian,Executive,Late career,Accelerator,None,High school or below,None,Basic,Auditory,Advanced,Supportive,Cooperative,Suburban,Intermediate,Positive,Medium,Time,Introverted,Skill development,46.15,0,0,positive
admin,Baby Boomers (55-75),Other,Asian,Senior-level,Late career,Accelerator,None,Some college,None,None,Auditory,Basic,Competitive,Neither,Urban,Intermediate,Neutral,High,Accessibility,Extroverted,Personal interest,98.1,0,0,negative
admin,Millennials (25-40),Female,Hispanic/Latino,Senior-level,Early career,Builder,Other,Doctoral degree,Basic,None,Kinesthetic,Intermediate,Supportive,Both,Urban,Basic,Neutral,Medium,Time,Ambivert,Requirement,100.0,4,2,negative
admin,Baby Boomers (55-75),Female,Caucasian,Senior-level,Mid-career,Expert,Other,High school or below,Basic,Advanced,Reading/Writing,Intermediate,Supportive,Neither,Rural,Intermediate,Positive,Medium,Time,Ambivert,Skill development,100.0,6,10,negative
admin,Generation Z (18-24),Other,African American,Mid-level,Late career,starter,None,Bachelor's degree,None,Basic,Visual,Basic,Supportive,Cooperative,Suburban,Basic,Positive,High,Time,Introverted,Career advancement,92.44,0,0,positive
learner,Millennials (25-40),Male,Caucasian,Mid-level,Late career,Accelerator,Mental,High school or below,Proficient,Intermediate,Visual,Advanced,Collaborative,Competitive,Urban,None,Positive,High,Interest,Introverted,Career advancement,2.05,0,0,negative
admin,Millennials (25-40),Male,African American,Entry-level,Early career,Accelerator,Other,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Independent,Competitive,Suburban,Advanced,Neutral,High,Interest,Extroverted,Skill development,11.0,0,0,positive
admin,Generation Z (18-24),Other,Caucasian,Executive,Retirement,Accelerator,Other,High school or below,None,Advanced,Reading/Writing,Basic,Competitive,Neither,Suburban,Advanced,Neutral,Medium,Time,Introverted,Skill development,100.0,3,8,positive
admin,Generation X (40-55),Female,Other,Executive,Retirement,Builder,Mental,Bachelor's degree,Fluent,Basic,Kinesthetic,None,Supportive,Neither,Suburban,Advanced,Negative,Medium,Accessibility,Ambivert,Skill development,88.32,0,0,negative
admin,Baby Boomers (55-75),Female,Caucasian,Entry-level,Mid-career,Expert,Physical,Bachelor's degree,None,None,Auditory,None,Supportive,Cooperative,Urban,Basic,Negative,Medium,Accessibility,Introverted,Career advancement,9.97,0,0,positive
admin,Baby Boomers (55-75),Other,Other,Senior-level,Late career,Expert,Other,Some college,None,Basic,Visual,Basic,Competitive,Competitive,Rural,None,Positive,Low,Resources,Extroverted,Career advancement,95.3,0,0,negative
learner,Generation Z (18-24),Female,African American,Executive,Mid-career,Expert,None,Some college,Basic,None,Auditory,None,Collaborative,Neither,Rural,None,Negative,High,Resources,Extroverted,Requirement,97.46,0,0,positive
learner,Generation X (40-55),Other,African American,Mid-level,Mid-career,Accelerator,None,High school or below,Proficient,Intermediate,Reading/Writing,Intermediate,Independent,Cooperative,Suburban,Advanced,Neutral,High,Time,Ambivert,Requirement,72.18,0,0,negative
